year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,6,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",745.00,307.00,96.57,12.31,42.45,0.26,155.41,18.00,0.00,30807.00,8760.00,1650.00,2308.00,35.00,18054.00
2024,6,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1182.00,353.00,124.25,11.80,45.80,0.39,170.75,26.00,0.00,30546.00,10299.00,1547.00,1973.00,54.00,16673.00
2024,6,AA,American Airlines Network,BNA,"Nashville, TN: Nashville International",754.00,318.00,96.40,10.24,45.03,0.87,165.46,21.00,2.00,30174.00,8374.00,1878.00,2712.00,68.00,17142.00
2024,6,AA,American Airlines Network,BOS,"Boston, MA: Logan International",1566.00,557.00,130.97,17.75,136.76,0.63,270.88,39.00,7.00,46318.00,10401.00,2188.00,8581.00,25.00,25123.00
2024,6,AA,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",355.00,142.00,43.27,6.93,15.50,1.36,74.94,11.00,0.00,9092.00,2741.00,829.00,788.00,62.00,4672.00
2024,6,AA,American Airlines Network,CLT,"Charlotte, NC: Charlotte Douglas International",10906.00,2785.00,705.53,133.38,571.09,8.31,1366.68,188.00,21.00,273921.00,91812.00,14447.00,33982.00,380.00,133300.00
2024,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2455.00,677.00,169.35,38.21,142.27,0.85,326.32,49.00,19.00,74861.00,26220.00,5180.00,6758.00,40.00,36663.00
2024,6,AA,American Airlines Network,DEN,"Denver, CO: Denver International",713.00,272.00,97.17,8.01,57.99,0.00,108.84,10.00,6.00,22408.00,7664.00,555.00,3242.00,0.00,10947.00
2024,6,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14670.00,4212.00,1098.72,247.86,801.04,12.83,2051.55,358.00,88.00,409579.00,130710.00,25474.00,38838.00,512.00,214045.00
2024,6,AA,American Airlines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",550.00,192.00,60.06,6.09,22.31,1.80,101.73,12.00,3.00,16328.00,5354.00,790.00,1269.00,159.00,8756.00
2024,6,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",608.00,266.00,61.08,11.92,86.50,1.39,105.11,27.00,9.00,20966.00,3886.00,1417.00,6066.00,100.00,9497.00
2024,6,AA,American Airlines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",469.00,156.00,49.25,6.16,24.39,1.44,74.77,26.00,1.00,12718.00,4121.00,518.00,1666.00,37.00,6376.00
